language,plotting_data
Moere,50.0
Korak,510.0
Waskia,20000.0
Mum,2500.0
Sirva,200.0
Gants,2500.0
Kulsab,10.0
Aisi,250.0
Magi,50.0
Apali,980.0
Manat,50.0
Mand,8.0
Nend,2000.0
Magiyi,
Utarmbung,1200.0
Wadaginam,950.0
Anam,1070.0
Moresada,200.0
Anamuxra,2000.0
Kobon,10000.0
Tai,900.0
Kalam,15000.0
Taulil,800.0
Butam,1.0
Biage,
Mountain Koiali,4000.0
Grass Koiari,1800.0
Koitabu,3000.0
Ömie,1200.0
Ese,10000.0
Barai,800.0
Namiae,1200.0
Angoram,9060.0
Chambri,1700.0
Tabriak,1300.0
Yimas,250.0
Murik,628.0
Kopar,540.0
Amto,300.0
Siawi,220.0
Kunimaipa,14000.0
Biangai,
Amam,
Weri,
Fembe,350.0
Odoodee,490.0
Konai,600.0
Kubo,500.0
Gobasi,1000.0
Samo,900.0
Unserdeutsch,110.0
Tok Pisin,4000000.0
Kwomtari,400.0
Nai,750.0
Haruai,2000.0
Pinai-Hagahai,600.0
Boikin,31300.0
Ngala,136.0
Ambulas,33000.0
Hanga Hundi,7200.0
Manambu,2800.0
Yalaku,170.0
Sengo,300.0
Koiwat,450.0
Iatmul,46000.0
Keak,6000.0
Sos Kundi,3300.0
Burui,150.0
Gaikundi,650.0
Awiakay-Karimba,300.0
Tapei,1560.0
Nanubae-Imangae,1560.0
Andai,100.0
Meakambut,
Angaataha,2500.0
Yagwoia,10000.0
Kawacha,7.5
Safeyoka,2390.0
Kamasa,5.0
Susuami,5.0
Baruya,6600.0
Simbari,3000.0
Ankave,1500.0
Tainae,1000.0
Akoye,800.0
Hamtai,45000.0
Menya,20000.0
I'saka,347.0
Uni,670.0
Bouni-Bobe,
Bauni,300.0
Puare,54.5
Rawo,506.0
Womo-Sumararu,6.0
Leitre,
Wutung,900.0
Vanimo,1660.0
Ipiko,200.0
Minanibai-Foia Foia,1.0
Mubami,1700.0
Mahigi,
Hoyahoya-Matakaia,
Hoia Hoia-Ukusi-Koperami,
Abom,15.0
Bitur,860.0
Baramu,850.0
Were,700.0
Makayam,1300.0
Marind,10000.0
Zimakani,1500.0
Kuni-Boazi,4500.0
Tuwari,360.0
Yawiyo,66.0
Pei,80.0
Walio,230.0
Suki,3500.0
Gogodala,22000.0
Waruna,600.0
Ari,50.0
Qaqet,15000.0
Kairak,900.0
Ura,1900.0
Mali,2200.0
Simbali,450.0
Makolkol,1.0
Wuvulu-Aua,1.0
Seimat,1.0
Kaniet,
Kaniet-Dempwolff,
Pak-Tong,970.0
Mokerang,200.0
Loniu,780.0
Sori-Harengan,570.0
Bipi,1380.0
Hermit,1.0
Nyindrou,4200.0
Tulu-Bohuai,1400.0
Mondropolon,720.0
Khehek,1600.0
Likum,50.0
Leipon,650.0
Andra-Hus,1.0
Ponam,560.0
Ere,1400.0
Kele,1500.0
Kurti,3000.0
Elu,220.0
Manus Koro,
Lele,3181.0
Titan,5100.0
Nali,1800.0
Papitalai,
Lopohan,1.0
Penchal,1.0
Lenkau,250.0
Nauna,100.0
Lou,1.0
Paluai,2500.0
'Auhelawa,1.0
Wagawaga,1.0
Buhutu,1.0
Unubahe,1.0
Oya'oya,1.0
Bwanabwana,1.0
Suau,1.0
Saliba,2500.0
Gumawana,1.0
Anuki,574.0
Diodio,1.0
Molima,1.0
Koluwawa,1.0
Maiadomu,1.0
Iamalele,1.0
Iduna,1.0
Bwaidoka,1.0
Dawawa,1.0
Kakabai,1.0
Duau,1.0
Sewa Bay,1.0
Dobu,1.0
Mwatebu,83.0
Bunama,1.0
Boselewa,250.0
Galeya,1.0
Maisin,1.0
Ubir,1.0
Arifama-Miniafia,3470.0
Kaninuwa,360.0
Are,1.0
Doga,120.0
Gapapaiwa,1.0
Ghayavi,1.0
Minaveha,1.0
Tawala,1.0
Gweda,112.5
Maiwala,1.0
Haigwai,1.0
Taupota,1.0
Wa'ema,
Yakaikeke,100.0
Wedau,
Sudest,1.0
Nimoa,1.0
Abadi,2900.0
Motu,39000.0
Lala,3000.0
Mekeo,20000.0
Toura,1800.0
Waima,15000.0
Kuni,2400.0
Sinaugoro,18000.0
Keapara,
Hula,1.0
Ouma,4.0
Bina,1.0
Magori,100.0
Yoba,1.0
Misima-Paneati,1.0
Budibud,120.0
Kilivila,1.0
Muyuw,1.0
Muduapa,1.0
Uneapa,1.0
Meramera,1.0
Nakanai,1.0
Bola,13700.0
Bulu,910.0
Tomoip,1.0
Siar-Lak,1.0
Tangga,1.0
Konomala,800.0
Sursurunga,1.0
Patpatar,1.0
Kuanua,1.0
Minigir,1.0
Guramalum,1.0
Kandas,300.0
Ramoaaina,1.0
Niwer Mil,1.0
Solos,1.0
Papapana,106.0
Nehan,1.0
Petats,1.0
Saposa,1.0
Teop,
Hahon,3000.0
Tinputz,1.0
Ratsua,200.0
Hakö,1.0
Halia,1.0
Lawunuia,1.0
Bannoni,1.0
Torau,1.0
Uruava,1.0
Label,140.0
Bilur,1.0
Lihir,1.0
Mandara,1.0
Notsi,1.0
Lavatbura-Lamusong,1.0
Madak,1.0
Barok,1.0
Tungag,1.0
Lakuramau,800.0
Tigak,1.0
Kara,1.0
Nalik,1.0
Tiang,1.0
Kairiru,3200.0
Kaiep,300.0
Terebu,130.0
Medebur,1.0
Kis,216.0
Wogeo,1500.0
Biem,1.0
Manam,6000.0
Sepa,200.0
Ulau-Suain,1271.0
Tumleo,610.0
Kap,2079.0
Sera,432.0
Sissano,300.0
Malol,4600.0
Arop-Sissano,1.0
Malalamai,150.0
Mutu,1.0
Gitua,1.0
Bariai,1.0
Kove,4500.0
Lusi,1.0
Sio,1.0
Tami,1.0
Maleu-Kilenge,1.0
Mbula,1.0
Lote,1.0
Mengen,1.0
Mamusi,1.0
Karnai,1.0
Arop-Lokep,1.0
Malasanga,1.0
Mur Pano,1.0
Ronji,1.0
Mato,1.0
Mindiri,90.0
Wab,120.0
Awad Bing,1.0
Marik,1.0
Gedaged,1.0
Matukar,1.0
Takia,1.0
Bilibil,1.0
Amara,115.5
Lamogai,1.0
Mouk-Aria,1.0
Akolet,1.0
Lesing-Gelimi,1.0
Avau,1.0
Apalik,
Gimi (West New Britain),
Solong,1.0
Aiklep,
Mangseng,1.0
Bebeli,780.0
Kaulong,1.0
Sengseng,1750.0
Aighon,1.0
Miu,1.0
Karore,550.0
Numbami,270.0
Middle Watut,
North Watut,
South Watut,
Wampar,1.0
Labu,1600.0
Aribwatsa,1.0
Aribwaung,1.0
Duwet,300.0
Nafi,50.0
Musom,219.0
Adzera,28900.0
Wampur,1.0
Mari (Madang Province),1.0
Sarasira,
Sukurum,
Kela,1.0
Bugawac,9690.0
Yabem,1.0
Iwal,1.0
Yamap,1.0
Hote,1.0
Vehes,70.0
Piu,65.0
Kapin,1.0
Mapos Buang,1.0
Mangga Buang,1.0
Gorakor,
Patep,
Zenag,
Dengalu,140.0
Dambi,
Kumalu,
Nukuria,1.0
Takuu,1.0
Nukumanu,1.0
Mussau-Emira,3651.0
Tenis,40.0
Fiwaga,300.0
Foi,6000.0
Owiniga,219.0
Ama,450.0
Bo,85.0
Iteri,480.0
Nakwi,216.0
Nimo,178.0
Karkar-Yuri,1000.0
Mulaha,1.0
Humene,940.0
Uare,1300.0
Mekmek,1036.0
Changriwa,498.0
Kyenele,548.0
Biwat,1642.0
Bun,194.0
Rao,4000.0
Banaro,2569.0
Abu,2347.0
Gorovu,10.0
Anor,450.0
Aiome,620.0
Kire,1900.0
Sepen,409.0
Aruamu,5350.0
Borei,1202.0
Awar,576.5
Bosngun,884.0
Watam,543.0
Kaian,396.0
Andarum,830.0
Tanguat,510.0
Tanggu,2330.0
Kanggape,930.0
Chini,75.0
Itutang-Inapang,1290.0
Breri,720.0
Romkun,350.0
Kominimung,328.0
Igana,200.0
Rumu,700.0
Mouwase,
Ikobi,1600.0
Barikewa,
Amal,388.0
Abau,7000.0
Awtuw,400.0
Pouye,408.5
Karawa,63.0
Kwoma,2925.0
Mende,3180.0
Kwanga,7520.0
Wogamusin,700.0
Chenapian,180.0
Sepik Iwam,2500.0
Iwam,3000.0
Auwon,384.0
