language_ID,language,latitude,longitude,links,speaker_number_raw,speaker_number_numeric,speaker_number_type,vitality_status,vitality_certainty,speaker_number_year,speaker_source,source_category,source_type,access_route,source_confidence,source_urls
vehe1237,Vehes,-6.92151,146.895,"[{'url': 'https://www.endangeredlanguages.com/elp-language/2704', 'label': 'Vehes'}, {'url': 'https://www.wikidata.org/entity/Q7918407', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Vehes_language', 'label': None}]",70,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/2704']
piuu1237,Piu,-6.96694,146.455,"[{'url': 'https://www.endangeredlanguages.com/elp-language/2646', 'label': 'Piu'}, {'url': 'https://www.wikidata.org/entity/Q7199578', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Piu_language', 'label': None}]",<130,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/2646']
kapi1250,Kapin,-7.05732,146.529,"[{'url': 'https://www.wikidata.org/entity/Q6366665', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Kapin_language', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Kapin_language']
mapo1242,Mapos Buang,-6.86672,146.774,"[{'url': 'https://grambank.clld.org/languages/mapo1242', 'label': 'Mapos Buang'}, {'url': 'https://en.wikipedia.org/wiki/Mapos_Buang_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q2927370', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Mapos_Buang_language']
mang1404,Mangga Buang,-6.99891,146.685,"[{'url': 'https://grambank.clld.org/languages/mang1404', 'label': 'Mangga Buang'}, {'url': 'https://en.wikipedia.org/wiki/Mangga_Buang_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q12952294', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Mangga_Buang_language']
gora1262,Gorakor,-6.85564,146.579,"[{'url': 'https://www.wikidata.org/entity/Q12952463', 'label': None}]",,,,,,,,,,,,[]
pate1247,Patep,-6.91988,146.639,"[{'url': 'https://lexibank.clld.org/languages/abvdoceanic-MumengPatepdialect', 'label': 'Mumeng (Patep dialect)'}, {'url': 'https://grambank.clld.org/languages/pate1247', 'label': 'Patep'}, {'url': 'https://wals.info/languoid/lect/wals_code_pat', 'label': 'Patep'}, {'url': 'https://phoible.org/languages/pate1247', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3368679', 'label': None}]",,,,,,,,,,,,[]
zena1237,Zenag,-6.93858,146.546,"[{'url': 'https://www.wikidata.org/entity/Q12953345', 'label': None}]",,,,,,,,,,,,[]
deng1252,Dengalu,-7.0572,146.3598,"[{'url': 'https://www.endangeredlanguages.com/elp-language/2145', 'label': 'Dengalu'}, {'url': 'https://www.wikidata.org/entity/Q31031820', 'label': None}]",140,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/2145']
damb1246,Dambi,-7.00587,146.474,"[{'url': 'https://www.wikidata.org/entity/Q12629491', 'label': None}]",,,,,,,,,,,,[]
kuma1278,Kumalu,-7.1135,146.57,"[{'url': 'https://www.wikidata.org/entity/Q17584381', 'label': None}]",,,,,,,,,,,,[]
nuku1259,Nukuria,-3.40038,154.731,"[{'url': 'https://lexibank.clld.org/languages/abvdoceanic-Nukeria', 'label': 'Nukeria'}, {'url': 'https://lexibank.clld.org/languages/walworthpolynesian-Nukuria', 'label': 'Nukuria_1212'}, {'url': 'https://en.wikipedia.org/wiki/Nukuria_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q7068910', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Nukuria_language']
taku1257,Takuu,-4.773094,157.032085,"[{'url': 'https://grambank.clld.org/languages/taku1257', 'label': 'Takuu'}, {'url': 'https://lexibank.clld.org/languages/abvdoceanic-Takuu', 'label': 'Takuu'}, {'url': 'https://en.wikipedia.org/wiki/Takuu_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3409818', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Takuu_language']
nuku1258,Nukumanu,-4.576321,159.48537,"[{'url': 'https://en.wikipedia.org/wiki/Nukumanu_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q11884845', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Nukumanu_language']
muss1246,Mussau-Emira,-1.44105,149.624,"[{'url': 'https://lexibank.clld.org/languages/abvdoceanic-Mussau', 'label': 'Mussau'}, {'url': 'https://wals.info/languoid/lect/wals_code_mus', 'label': 'Mussau'}, {'url': 'https://www.endangeredlanguages.com/elp-language/2277', 'label': 'Mussau-Emira'}, {'url': 'https://grambank.clld.org/languages/muss1246', 'label': 'Mussau-Emira'}, {'url': 'https://en.wikipedia.org/wiki/Mussau-Emira_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q6943093', 'label': None}]","3,651",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/2277']
