language_ID,language,latitude,longitude,links,speaker_number_raw,speaker_number_numeric,speaker_number_type,speaker_number_min,speaker_number_max,vitality_status,vitality_certainty,speaker_number_year,speaker_source,source_category,source_type,access_route,source_confidence,source_urls,plotting_data,bar_chart_tooltip_value
kolp1236,Kol,-5.21042,151.583,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10809', 'label': 'Kol'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-kol', 'label': 'Kol'}, {'url': 'https://grambank.clld.org/languages/kolp1236', 'label': 'Kol (Papua New Guinea)'}, {'url': 'https://en.wikipedia.org/wiki/Kol_language_(Papua_New_Guinea)', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q4227542', 'label': None}]","~4,000",4000.0,estimate,2240.0,5760.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.56,['https://www.endangeredlanguages.com/elp-language/10809'],4000.0,"~4,000"
odia1239,Odiai,-3.82276,141.336,"[{'url': 'https://www.endangeredlanguages.com/elp-language/3910', 'label': 'Busa'}, {'url': 'https://www.wikidata.org/entity/Q56690', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Busa_language_(Papuan)', 'label': None}]",240,240.0,exact,240.0,240.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/3910'],240.0,240.0
pura1257,Purari,-7.59133,145.036,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10742', 'label': 'Purari'}, {'url': 'https://grambank.clld.org/languages/pura1257', 'label': 'Purari'}, {'url': 'https://en.wikipedia.org/wiki/Purari_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3499934', 'label': None}]","10,000",10000.0,exact,10000.0,10000.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10742'],10000.0,10000.0
yera1243,Yerakai,-4.28828,142.947,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10602', 'label': 'Yerakai'}, {'url': 'https://www.wikidata.org/entity/Q8052531', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Yerakai_language', 'label': None}]",390,390.0,exact,390.0,390.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10602'],390.0,390.0
pawa1255,Pawaia,-6.88021,145.081,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10740', 'label': 'Pawaia'}, {'url': 'https://grambank.clld.org/languages/pawa1255', 'label': 'Pawaia'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-pawaia', 'label': 'Pawaia'}, {'url': 'https://wals.info/languoid/lect/wals_code_paw', 'label': 'Pawaian'}, {'url': 'https://en.wikipedia.org/wiki/Pawaia_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q7156099', 'label': None}]",4000,4000.0,exact,4000.0,4000.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10740'],4000.0,4000.0
moik1239,Moikodi,-9.60232,148.312,"[{'url': 'https://www.wikidata.org/entity/Q6894594', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Moikodi_language', 'label': None}]",(570 cited 1981)[1],570.0,exact,570.0,570.0,,,1981,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Moikodi_language'],570.0,570.0
anem1248,Aneme Wake,-9.75911,148.479,"[{'url': 'https://en.wikipedia.org/wiki/Aneme_Wake_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3508107', 'label': None}]",(650 cited 1990)[1],650.0,exact,650.0,650.0,,,1990,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Aneme_Wake_language'],650.0,650.0
nawa1258,Nawaru,-9.37935,148.237,"[{'url': 'https://www.endangeredlanguages.com/elp-language/4906', 'label': 'Nawaru'}, {'url': 'https://www.wikidata.org/entity/Q12638166', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Nawaru_language', 'label': None}]",190,190.0,exact,190.0,190.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/4906'],190.0,190.0
bari1290,Bariji,-9.231,148.454,"[{'url': 'https://www.wikidata.org/entity/Q4690919', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Aga_Bereho_language', 'label': None}]",(460 cited 2000)[1],460.0,exact,460.0,460.0,,,2000,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Aga_Bereho_language'],460.0,460.0
yare1248,Yareba,-9.50651,148.605,"[{'url': 'https://grambank.clld.org/languages/yare1248', 'label': 'Yareba'}, {'url': 'https://lexibank.clld.org/languages/johanssonsoundsymbolic-Yareba', 'label': 'Yareba'}, {'url': 'https://wals.info/languoid/lect/wals_code_yar', 'label': 'Yareba'}, {'url': 'https://en.wikipedia.org/wiki/Yareba_language', 'label': None}, {'url': 'https://phoible.org/languages/yare1248', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3571876', 'label': None}]","(1,200 cited 2000)[1]",1200.0,exact,1200.0,1200.0,,,2000,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Yareba_language'],1200.0,1200.0
